xb@giga:[~/cs527-explore/mpx/llcbench/cachebench]:  sleep 30 ; ./cachebench -rwbsp -x1 -m24 -d5 -e10

                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
-------         -------         -------         -------
256             0.02            63060.84        1.00           
256             0.02            63066.91        1.00           
256             0.02            63076.00        1.00           
256             0.02            63054.62        1.00           
256             0.02            63072.11        1.00           
256             0.02            63121.43        1.00           
256             0.02            63193.89        1.00           
256             0.02            63195.39        1.00           
256             0.02            63189.70        1.00           
256             0.02            63192.86        1.00           
384             0.01            76692.10        0.82           
384             0.01            76737.35        1.00           
384             0.01            76722.66        1.00           
384             0.01            75473.79        1.02           
384             0.01            76739.66        0.98           
384             0.01            76735.06        1.00           
384             0.01            76734.85        1.00           
384             0.01            76739.83        1.00           
384             0.01            76743.64        1.00           
384             0.01            76737.41        1.00           
512             0.01            85956.65        0.89           
512             0.01            85951.64        1.00           
512             0.01            85954.72        1.00           
512             0.01            85947.76        1.00           
512             0.01            85957.25        1.00           
512             0.01            85957.00        1.00           
512             0.01            85955.98        1.00           
512             0.01            85955.48        1.00           
512             0.01            85956.85        1.00           
512             0.01            85945.83        1.00           
768             0.01            97675.17        0.88           
768             0.01            97676.02        1.00           
768             0.01            97680.64        1.00           
768             0.01            97675.24        1.00           
768             0.01            97680.90        1.00           
768             0.01            97672.13        1.00           
768             0.01            97676.55        1.00           
768             0.01            97670.37        1.00           
768             0.01            97680.38        1.00           
768             0.01            97677.19        1.00           
1024            0.01            104824.70       0.93           
1024            0.01            104825.01       1.00           
1024            0.01            104824.23       1.00           
1024            0.01            104821.37       1.00           
1024            0.01            104816.73       1.00           
1024            0.01            104821.38       1.00           
1024            0.01            104825.65       1.00           
1024            0.01            104822.51       1.00           
1024            0.01            104824.71       1.00           
1024            0.01            104820.34       1.00           
1536            0.01            113093.41       0.93           
1536            0.01            113083.38       1.00           
1536            0.01            113093.85       1.00           
1536            0.01            113092.87       1.00           
1536            0.01            113095.47       1.00           
1536            0.01            113090.98       1.00           
1536            0.01            113095.13       1.00           
1536            0.01            113090.67       1.00           
1536            0.01            113090.35       1.00           
1536            0.01            113088.22       1.00           
2048            0.01            117739.20       0.96           
2048            0.01            117737.60       1.00           
2048            0.01            117739.46       1.00           
2048            0.01            117734.00       1.00           
2048            0.01            117740.12       1.00           
2048            0.01            117731.64       1.00           
2048            0.01            117737.08       1.00           
2048            0.01            117739.06       1.00           
2048            0.01            117741.07       1.00           
2048            0.01            117737.00       1.00           
3072            0.01            77190.56        1.53           
3072            0.01            77187.64        1.00           
3072            0.01            77185.64        1.00           
3072            0.01            77183.28        1.00           
3072            0.01            77190.72        1.00           
3072            0.01            77188.07        1.00           
3072            0.01            77188.72        1.00           
3072            0.01            77188.37        1.00           
3072            0.01            77188.20        1.00           
3072            0.01            77182.80        1.00           
4096            0.01            67929.37        1.14           
4096            0.01            67932.98        1.00           
4096            0.01            67937.80        1.00           
4096            0.01            67931.84        1.00           
4096            0.01            67935.62        1.00           
4096            0.01            67928.70        1.00           
4096            0.01            67931.47        1.00           
4096            0.01            67926.45        1.00           
4096            0.01            67935.41        1.00           
4096            0.01            67935.19        1.00           
6144            0.01            80810.59        0.84           
6144            0.01            80810.88        1.00           
6144            0.01            80809.19        1.00           
6144            0.01            80806.76        1.00           
6144            0.01            80805.45        1.00           
6144            0.01            80807.33        1.00           
6144            0.01            80814.64        1.00           
6144            0.01            80809.55        1.00           
6144            0.01            80814.14        1.00           
6144            0.01            80806.96        1.00           
8192            0.01            73599.91        1.10           
8192            0.01            73594.17        1.00           
8192            0.01            73602.62        1.00           
8192            0.01            73600.56        1.00           
8192            0.01            73605.42        1.00           
8192            0.01            73599.08        1.00           
8192            0.01            73600.77        1.00           
8192            0.01            73599.59        1.00           
8192            0.01            73598.99        1.00           
8192            0.01            73598.18        1.00           
12288           0.01            75709.46        0.97           
12288           0.01            75704.81        1.00           
12288           0.01            75707.86        1.00           
12288           0.01            75680.33        1.00           
12288           0.01            75737.98        1.00           
12288           0.01            75747.80        1.00           
12288           0.01            75748.57        1.00           
12288           0.01            75749.27        1.00           
12288           0.01            75749.46        1.00           
12288           0.01            75743.87        1.00           
16384           0.01            76850.61        0.99           
16384           0.01            76849.01        1.00           
16384           0.01            76850.50        1.00           
16384           0.01            76848.02        1.00           
16384           0.01            76849.53        1.00           
16384           0.01            76850.43        1.00           
16384           0.01            76849.95        1.00           
16384           0.01            76848.51        1.00           
16384           0.01            76849.21        1.00           
16384           0.01            76850.67        1.00           
24576           0.01            77980.24        0.99           
24576           0.01            77982.98        1.00           
24576           0.01            77983.98        1.00           
24576           0.01            77982.47        1.00           
24576           0.01            77983.11        1.00           
24576           0.01            77980.38        1.00           
24576           0.01            77982.31        1.00           
24576           0.01            77981.66        1.00           
24576           0.01            77981.71        1.00           
24576           0.01            77981.81        1.00           
32768           0.01            77132.25        1.01           
32768           0.01            77108.05        1.00           
32768           0.01            77094.76        1.00           
32768           0.01            77094.29        1.00           
32768           0.01            77114.06        1.00           
32768           0.01            77113.64        1.00           
32768           0.01            77082.80        1.00           
32768           0.01            77112.59        1.00           
32768           0.01            77132.55        1.00           
32768           0.01            77101.81        1.00           
49152           0.02            58075.85        1.33           
49152           0.02            58114.88        1.00           
49152           0.02            58019.70        1.00           
49152           0.02            57661.76        1.01           
49152           0.02            57926.10        1.00           
49152           0.02            58061.22        1.00           
49152           0.02            58047.82        1.00           
49152           0.02            57900.33        1.00           
49152           0.02            58073.16        1.00           
49152           0.02            57821.77        1.00           
65536           0.02            57797.87        1.00           
65536           0.02            57771.13        1.00           
65536           0.02            57676.28        1.00           
65536           0.02            57482.00        1.00           
65536           0.02            58220.28        0.99           
65536           0.02            57417.25        1.01           
65536           0.02            57469.51        1.00           
65536           0.02            57908.98        0.99           
65536           0.02            57428.02        1.01           
65536           0.02            57584.42        1.00           
98304           0.02            57119.45        1.01           
98304           0.02            57066.18        1.00           
98304           0.02            56782.50        1.00           
98304           0.02            57346.09        0.99           
98304           0.02            56602.05        1.01           
98304           0.02            56678.72        1.00           
98304           0.02            56855.13        1.00           
98304           0.02            56811.20        1.00           
98304           0.02            57258.18        0.99           
98304           0.02            56945.39        1.01           
131072          0.02            56169.59        1.01           
131072          0.02            56306.21        1.00           
131072          0.02            56193.41        1.00           
131072          0.02            56884.55        0.99           
131072          0.02            56492.84        1.01           
131072          0.02            56278.21        1.00           
131072          0.02            56500.63        1.00           
131072          0.02            56286.23        1.00           
131072          0.02            56251.37        1.00           
131072          0.02            56542.95        0.99           
196608          0.02            55749.97        1.01           
196608          0.02            55668.48        1.00           
196608          0.02            55675.59        1.00           
196608          0.02            55619.24        1.00           
196608          0.02            55725.91        1.00           
196608          0.02            55929.80        1.00           
